code,uic,name,slug,latitude,longitude,province,municipality,type,active
APDO,8400229,Apeldoorn Osseveld,apeldoorn-osseveld,52.215279,6.004445,Gelderland,Apeldoorn,stoptreinstation,1
APG,8400067,Appingedam,appingedam,53.325814,6.861958,Groningen,Eemsdelta,stoptreinstation,1
AKL,8400068,Arkel,arkel,51.871944,4.992778,Zuid-Holland,Molenlanden,stoptreinstation,1
ARN,8400069,Arnemuiden,arnemuiden,51.501667,3.669167,Zeeland,Middelburg (Z.),stoptreinstation,1
AH,8400071,Arnhem Centraal,arnhem-centraal,51.985001,5.899167,Gelderland,Arnhem,knooppuntIntercitystation,1
AHPR,8400075,Arnhem Presikhaaf,arnhem-presikhaaf,51.988056,5.943889,Gelderland,Arnhem,stoptreinstation,1
AHP,8400072,Arnhem Velperpoort,arnhem-velperpoort,51.985279,5.919445,Gelderland,Arnhem,stoptreinstation,1
AHZ,8400227,Arnhem Zuid,arnhem-zuid,51.955002,5.851944,Gelderland,Arnhem,stoptreinstation,1
ASN,8400073,Assen,assen,52.991665,6.570833,Drenthe,Assen,knooppuntIntercitystation,1
BRN,8400086,Baarn,baarn,52.208332,5.280833,Utrecht,Baarn,knooppuntStoptreinstation,1
NSCH,8400457,Bad Nieuweschans,bad-nieuweschans,53.184400,7.199370,Groningen,Oldambt,knooppuntStoptreinstation,1
BF,8400089,Baflo,baflo,53.360897,6.518558,Groningen,Het Hogeland,stoptreinstation,1
BRD,8400090,Barendrecht,barendrecht,51.854721,4.553333,Zuid-Holland,Barendrecht,stoptreinstation,1
BNC,8400091,Barneveld Centrum,barneveld-centrum,52.139999,5.590278,Gelderland,Barneveld,stoptreinstation,1
BNN,8400092,Barneveld Noord,barneveld-noord,52.161388,5.598055,Gelderland,Barneveld,stoptreinstation,1
BNZ,8400115,Barneveld Zuid,barneveld-zuid,52.128853,5.602460,Gelderland,Barneveld,stoptreinstation,1
BDM,8400094,Bedum,bedum,53.306886,6.593054,Groningen,Het Hogeland,stoptreinstation,1
BK,8400096,Beek-Elsloo,beek-elsloo,50.947498,5.786667,Limburg,Stein (L.),stoptreinstation,1
BSD,8400097,Beesd,beesd,51.899445,5.194445,Gelderland,West Betuwe,stoptreinstation,1
BL,8400100,Beilen,beilen,52.854721,6.521111,Drenthe,Midden-Drenthe,stoptreinstation,1
BGN,8400108,Bergen op Zoom,bergen-op-zoom,51.493889,4.296111,Noord-Brabant,Bergen op Zoom,stoptreinstation,1
BET,8400112,Best,best,51.509998,5.389167,Noord-Brabant,Best,stoptreinstation,1
BV,8400113,Beverwijk,beverwijk,52.478333,4.656667,Noord-Holland,Beverwijk,stoptreinstation,1
BHV,8400114,Bilthoven,bilthoven,52.130001,5.203889,Utrecht,De Bilt,stoptreinstation,1
BR,8400117,Blerick,blerick,51.372501,6.155000,Limburg,Venlo,stoptreinstation,1
BLL,8400118,Bloemendaal,bloemendaal,52.404167,4.627500,Noord-Holland,Bloemendaal,stoptreinstation,1
BDG,8400121,Bodegraven,bodegraven,52.081390,4.746111,Zuid-Holland,Bodegraven-Reeuwijk,stoptreinstation,1
BN,8400124,Borne,borne,52.298889,6.748055,Overijssel,Borne,stoptreinstation,1
BSK,8400125,Boskoop,boskoop,52.077778,4.646945,Zuid-Holland,Alphen aan den Rijn,stoptreinstation,1
BSKS,8400126,Boskoop Snijdelwijk,boskoop-snijdelwijk,52.067658,4.646186,Zuid-Holland,Waddinxveen,stoptreinstation,1
BHDV,8400236,Boven-Hardinxveld,boven-hardinxveld,51.832222,4.878056,Zuid-Holland,Hardinxveld-Giessendam,stoptreinstation,1
BKF,8400230,Bovenkarspel Flora,bovenkarspel-flora,52.696110,5.252778,Noord-Holland,Stede Broec,stoptreinstation,1
BKG,8400127,Bovenkarspel-Grootebroek,bovenkarspel-grootebroek,52.695000,5.237778,Noord-Holland,Stede Broec,stoptreinstation,1
BMR,8400128,Boxmeer,boxmeer,51.644522,5.939033,Noord-Brabant,Land van Cuijk,knooppuntStoptreinstation,1
BTL,8400129,Boxtel,boxtel,51.584330,5.319120,Noord-Brabant,Boxtel,knooppuntStoptreinstation,1
BD,8400131,Breda,breda,51.595554,4.780000,Noord-Brabant,Breda,knooppuntIntercitystation,1
BDPB,8400132,Breda-Prinsenbeek,breda-prinsenbeek,51.606388,4.720833,Noord-Brabant,Breda,stoptreinstation,1
BKL,8400133,Breukelen,breukelen,52.171490,4.990600,Utrecht,Stichtse Vecht,knooppuntStoptreinstation,1
BMN,8400136,Brummen,brummen,52.091110,6.146945,Gelderland,Brummen,stoptreinstation,1
BP,8400139,Buitenpost,buitenpost,53.256455,6.144650,Fryslân,Achtkarspelen,knooppuntSneltreinstation,1
BDE,8400140,Bunde,bunde,50.896946,5.736667,Limburg,Meerssen,stoptreinstation,1
BNK,8400141,Bunnik,bunnik,52.063057,5.194445,Utrecht,Bunnik,stoptreinstation,1
BSMZ,8400145,Bussum Zuid,bussum-zuid,52.265835,5.163055,Noord-Holland,Gooise Meren,stoptreinstation,1
CPS,8400147,Capelle Schollevaar,capelle-schollevaar,51.954166,4.584167,Zuid-Holland,Capelle aan den IJssel,stoptreinstation,1
CAS,8400151,Castricum,castricum,52.545834,4.658611,Noord-Holland,Castricum,intercitystation,1
CVM,8400152,Chevremont,chevremont,50.876110,6.059722,Limburg,Kerkrade,stoptreinstation,1
CO,8400153,Coevorden,coevorden,52.663612,6.735556,Drenthe,Coevorden,knooppuntSneltreinstation,1
CK,8400155,Cuijk,cuijk,51.726683,5.874295,Noord-Brabant,Land van Cuijk,stoptreinstation,1
CL,8400154,Culemborg,culemborg,51.946667,5.226944,Gelderland,Culemborg,stoptreinstation,1
DA,8400164,Daarlerveen,daarlerveen,52.440770,6.575995,Overijssel,Hellendoorn,stoptreinstation,1
DLN,8400161,Dalen,dalen,52.694168,6.758056,Drenthe,Coevorden,stoptreinstation,1
DL,8400167,Dalfsen,dalfsen,52.498333,6.258611,Overijssel,Dalfsen,sneltreinstation,1
DVNK,8400188,De Vink,de-vink,52.147221,4.456389,Zuid-Holland,Voorschoten,stoptreinstation,1
DWE,8400745,De Westereen,de-westereen,53.248170,6.034630,Fryslân,Dantumadiel,stoptreinstation,1
DEI,8400168,Deinum,deinum,53.188811,5.728157,Fryslân,Waadhoeke,stoptreinstation,1
DDN,8400169,Delden,delden,52.259998,6.716111,Overijssel,Hof van Twente,stoptreinstation,1
DT,8400170,Delft,delft,52.006668,4.356389,Zuid-Holland,Delft,knooppuntIntercitystation,1
DTCP,8400166,Delft Campus,delft-campus,51.990833,4.364722,Zuid-Holland,Delft,stoptreinstation,1
DZ,8400171,Delfzijl,delfzijl,53.333663,6.924080,Groningen,Eemsdelta,stoptreinstation,1
DZW,8400175,Delfzijl West,delfzijl-west,53.332083,6.906909,Groningen,Eemsdelta,stoptreinstation,1
DLD,8400179,Den Dolder,den-dolder,52.140278,5.242778,Utrecht,Zeist,knooppuntStoptreinstation,1
GVC,8400282,Den Haag Centraal,den-haag-centraal,52.080276,4.325000,Zuid-Holland,'s-Gravenhage,megastation,1
GV,8400280,Den Haag HS,den-haag-hs,52.069721,4.322500,Zuid-Holland,'s-Gravenhage,knooppuntIntercitystation,1
LAA,8400380,Den Haag Laan v NOI,den-haag-laan-v-noi,52.078609,4.342778,Zuid-Holland,Leidschendam-Voorburg,knooppuntStoptreinstation,1
GVM,8400278,Den Haag Mariahoeve,den-haag-mariahoeve,52.090557,4.369444,Zuid-Holland,Leidschendam-Voorburg,stoptreinstation,1
GVMW,8400279,Den Haag Moerwijk,den-haag-moerwijk,52.053890,4.308611,Zuid-Holland,'s-Gravenhage,stoptreinstation,1
YPB,8400379,Den Haag Ypenburg,den-haag-ypenburg,52.055279,4.392222,Zuid-Holland,'s-Gravenhage,stoptreinstation,1
HDR,8400311,Den Helder,den-helder,52.955276,4.761111,Noord-Holland,Den Helder,intercitystation,1
HDRZ,8400303,Den Helder Zuid,den-helder-zuid,52.932499,4.764167,Noord-Holland,Den Helder,stoptreinstation,1
DN,8400172,Deurne,deurne,51.455833,5.788889,Noord-Brabant,Deurne,stoptreinstation,1
DV,8400173,Deventer,deventer,52.257500,6.160555,Overijssel,Deventer,knooppuntIntercitystation,1
DVC,8400185,Deventer Colmschate,deventer-colmschate,52.250278,6.214445,Overijssel,Deventer,stoptreinstation,1
DID,8400174,Didam,didam,51.933502,6.132411,Gelderland,Montferland,stoptreinstation,1
DMN,8400165,Diemen,diemen,52.345150,4.967566,Noord-Holland,Diemen,stoptreinstation,1
DMNZ,8400163,Diemen Zuid,diemen-zuid,52.330276,4.955833,Noord-Holland,Diemen,stoptreinstation,1
DR,8400176,Dieren,dieren,52.044998,6.103055,Gelderland,Rheden,intercitystation,1
DTC,8400177,Doetinchem,doetinchem,51.958596,6.296215,Gelderland,Doetinchem,knooppuntStoptreinstation,1
DTCH,8400184,Doetinchem De Huet,doetinchem-de-huet,51.959141,6.259852,Gelderland,Doetinchem,stoptreinstation,1
DDR,8400180,Dordrecht,dordrecht,51.807220,4.668334,Zuid-Holland,Dordrecht,knooppuntIntercitystation,1
DDRS,8400186,Dordrecht Stadspolders,dordrecht-stadspolders,51.801945,4.716667,Zuid-Holland,Dordrecht,stoptreinstation,1
DDZD,8400181,Dordrecht Zuid,dordrecht-zuid,51.790001,4.671389,Zuid-Holland,Dordrecht,stoptreinstation,1
DB,8400182,Driebergen-Zeist,driebergen-zeist,52.065277,5.258611,Utrecht,Utrechtse Heuvelrug,knooppuntStoptreinstation,1
DRH,8400183,Driehuis,driehuis,52.442501,4.638055,Noord-Holland,Velsen,stoptreinstation,1
DRP,8400192,Dronryp,dronryp,53.177809,5.634741,Fryslân,Waadhoeke,stoptreinstation,1
DRON,8400198,Dronten,dronten,52.534400,5.720890,Flevoland,Dronten,stoptreinstation,1
DVN,8400193,Duiven,duiven,51.943333,6.014722,Gelderland,Duiven,stoptreinstation,1
DVD,8400194,Duivendrecht,duivendrecht,52.323334,4.936389,Noord-Holland,Ouder-Amstel,knooppuntStoptreinstation,1
EC,8400195,Echt,echt,51.100555,5.878889,Limburg,Echt-Susteren,stoptreinstation,1
EDC,8400201,Ede Centrum,ede-centrum,52.043610,5.668334,Gelderland,Ede,stoptreinstation,1
ED,8400200,Ede-Wageningen,ede-wageningen,52.027779,5.673056,Gelderland,Ede,knooppuntIntercitystation,1
EEM,8400202,Eemshaven,eemshaven,53.458419,6.832000,Groningen,Het Hogeland,stoptreinstation,1
EDN,8400219,Eijsden,eijsden,50.771946,5.710000,Limburg,Eijsden-Margraten,stoptreinstation,1
EHV,8400206,Eindhoven Centraal,eindhoven-centraal,51.443333,5.481389,Noord-Brabant,Eindhoven,megastation,1
EHS,8400196,Eindhoven Strijp-S,eindhoven-strijp-s,51.451111,5.455833,Noord-Brabant,Eindhoven,stoptreinstation,1
EST,8400207,Elst,elst,51.916943,5.855000,Gelderland,Overbetuwe,knooppuntStoptreinstation,1
EMN,8400208,Emmen,emmen,52.790001,6.899445,Drenthe,Emmen,sneltreinstation,1
EMNZ,8400407,Emmen Zuid,emmen-zuid,52.748866,6.874781,Drenthe,Emmen,sneltreinstation,1
EKZ,8400210,Enkhuizen,enkhuizen,52.699165,5.286389,Noord-Holland,Enkhuizen,stoptreinstation,1
ES,8400212,Enschede,enschede,52.222500,6.890000,Overijssel,Enschede,knooppuntIntercitystation,1
ESE,8400217,Enschede De Eschmarke,enschede-de-eschmarke,52.221390,6.951111,Overijssel,Enschede,stoptreinstation,1
ESK,8400221,Enschede Kennispark,enschede-kennispark,52.237499,6.838889,Overijssel,Enschede,stoptreinstation,1
EML,8400216,Ermelo,ermelo,52.301666,5.614722,Gelderland,Ermelo,stoptreinstation,1
ETN,8400218,Etten-Leur,etten-leur,51.575001,4.635833,Noord-Brabant,Etten-Leur,intercitystation,1
EGH,8400338,Eygelshoven,eygelshoven,50.890556,6.045000,Limburg,Kerkrade,stoptreinstation,1
EGHM,8400234,Eygelshoven Markt,eygelshoven-markt,50.896050,6.060247,Limburg,Kerkrade,stoptreinstation,1
FWD,8400638,Feanwâlden,feanwalden,53.235183,5.988662,Fryslân,Dantumadiel,stoptreinstation,1
FN,8400232,Franeker,franeker,53.182449,5.548309,Fryslân,Waadhoeke,stoptreinstation,1
GDR,8400241,Gaanderen,gaanderen,51.930740,6.348600,Gelderland,Doetinchem,stoptreinstation,1
GDM,8400244,Geldermalsen,geldermalsen,51.883010,5.271270,Gelderland,West Betuwe,knooppuntStoptreinstation,1
GP,8400245,Geldrop,geldrop,51.419724,5.550556,Noord-Brabant,Geldrop-Mierlo,knooppuntStoptreinstation,1
GLN,8400246,Geleen Oost,geleen-oost,50.966946,5.843056,Limburg,Sittard-Geleen,stoptreinstation,1
LUT,8400248,Geleen-Lutterade,geleen-lutterade,50.975555,5.824722,Limburg,Sittard-Geleen,stoptreinstation,1
GZ,8400251,Gilze-Rijen,gilze-rijen,51.583611,4.926111,Noord-Brabant,Gilze en Rijen,stoptreinstation,1
GBR,8400262,Glanerbrug,glanerbrug,52.218613,6.974444,Overijssel,Enschede,stoptreinstation,1
GS,8400253,Goes,goes,51.498055,3.890556,Zeeland,Goes,stoptreinstation,1
GO,8400254,Goor,goor,52.230278,6.584445,Overijssel,Hof van Twente,stoptreinstation,1
GR,8400256,Gorinchem,gorinchem,51.833889,4.968333,Zuid-Holland,Gorinchem,knooppuntStoptreinstation,1
GD,8400258,Gouda,gouda,52.017502,4.704444,Zuid-Holland,Gouda,knooppuntIntercitystation,1
GDG,8400257,Gouda Goverwelle,gouda-goverwelle,52.014999,4.740833,Zuid-Holland,Gouda,stoptreinstation,1
GBG,8400259,Gramsbergen,gramsbergen,52.609165,6.675833,Overijssel,Hardenberg,stoptreinstation,1
GK,8400267,Grijpskerk,grijpskerk,53.255740,6.309779,Groningen,Westerkwartier,stoptreinstation,1
GN,8400263,Groningen,groningen,53.210556,6.564722,Groningen,Groningen,knooppuntIntercitystation,1
GERP,8400238,Groningen Europapark,groningen-europapark,53.204800,6.585418,Groningen,Groningen,stoptreinstation,1
GNN,8400264,Groningen Noord,groningen-noord,53.230147,6.556317,Groningen,Groningen,stoptreinstation,1
GW,8400266,Grou-Jirnsum,grou-jirnsum,53.088890,5.822500,Fryslân,Leeuwarden,stoptreinstation,1
HLM,8400285,Haarlem,haarlem,52.387779,4.638333,Noord-Holland,Haarlem,knooppuntIntercitystation,1
HLMS,8400270,Haarlem Spaarnwoude,haarlem-spaarnwoude,52.382778,4.673056,Noord-Holland,Haarlem,stoptreinstation,1
HWZB,8400400,Halfweg-Zwanenburg,halfweg-zwanenburg,52.385935,4.747165,Noord-Holland,Haarlemmermeer,stoptreinstation,1
HDB,8400293,Hardenberg,hardenberg,52.572777,6.628611,Overijssel,Hardenberg,sneltreinstation,1
HD,8400294,Harderwijk,harderwijk,52.337502,5.619722,Gelderland,Harderwijk,knooppuntStoptreinstation,1
HBZM,8400438,Hardinxveld Blauwe Zoom,hardinxveld-blauwe-zoom,51.829440,4.815560,Zuid-Holland,Hardinxveld-Giessendam,stoptreinstation,1
GND,8400295,Hardinxveld-Giessendam,hardinxveld-giessendam,51.830555,4.835834,Zuid-Holland,Hardinxveld-Giessendam,stoptreinstation,1
HRN,8400297,Haren,haren,53.176109,6.617222,Groningen,Groningen,stoptreinstation,1
HLG,8400296,Harlingen,harlingen,53.170420,5.425193,Fryslân,Harlingen,stoptreinstation,1
HLGH,8400298,Harlingen Haven,harlingen-haven,53.174917,5.411289,Fryslân,Harlingen,stoptreinstation,1
HK,8400317,Heemskerk,heemskerk,52.495277,4.686944,Noord-Holland,Heemskerk,stoptreinstation,1
HAD,8400302,Heemstede-Aerdenhout,heemstede-aerdenhout,52.359165,4.606667,Noord-Holland,Heemstede,intercitystation,1
HR,8400305,Heerenveen,heerenveen,52.961388,5.914166,Fryslân,Heerenveen,intercitystation,1
HRY,8400301,Heerenveen IJsstadion,heerenveen-ijsstadion,52.935276,5.943889,Fryslân,Heerenveen,facultatiefStation,0
HWD,8400306,Heerhugowaard,heerhugowaard,52.669724,4.822778,Noord-Holland,Dijk en Waard,knooppuntStoptreinstation,1
HRL,8400307,Heerlen,heerlen,50.890835,5.975000,Limburg,Heerlen,knooppuntIntercitystation,1
HRLW,8400404,Heerlen Woonboulevard,heerlen-woonboulevard,50.896667,5.952222,Limburg,Heerlen,stoptreinstation,1
HZE,8400308,Heeze,heeze,51.384998,5.569445,Noord-Brabant,Heeze-Leende,stoptreinstation,1
HLO,8400309,Heiloo,heiloo,52.599445,4.700555,Noord-Holland,Heiloo,stoptreinstation,1
HNO,8400310,Heino,heino,52.427223,6.221111,Overijssel,Raalte,stoptreinstation,1
HM,8400313,Helmond,helmond,51.475555,5.661944,Noord-Brabant,Helmond,knooppuntIntercitystation,1
HMH,8400300,Helmond 't Hout,helmond-t-hout,51.467940,5.630850,Noord-Brabant,Helmond,stoptreinstation,1
HMBV,8400242,Helmond Brandevoort,helmond-brandevoort,51.462223,5.607222,Noord-Brabant,Helmond,stoptreinstation,1
HMBH,8400299,Helmond Brouwhuis,helmond-brouwhuis,51.470680,5.701770,Noord-Brabant,Helmond,stoptreinstation,1
HMN,8400315,Hemmen-Dodewaard,hemmen-dodewaard,51.922213,5.673725,Gelderland,Neder-Betuwe,stoptreinstation,1
HGL,8400316,Hengelo,hengelo,52.261665,6.793889,Overijssel,Hengelo (O.),knooppuntIntercitystation,1
HGLG,8400433,Hengelo Gezondheidspark,hengelo-gezondheidspark,52.261667,6.767778,Overijssel,Hengelo (O.),stoptreinstation,1
HGLO,8400312,Hengelo Oost,hengelo-oost,52.268890,6.819445,Overijssel,Hengelo (O.),stoptreinstation,1
HIL,8400329,Hillegom,hillegom,52.302502,4.565556,Zuid-Holland,Hillegom,stoptreinstation,1
HVS,8400322,Hilversum,hilversum,52.225834,5.181944,Noord-Holland,Hilversum,knooppuntIntercitystation,1
HVSM,8400324,Hilversum Media Park,hilversum-media-park,52.238056,5.173889,Noord-Holland,Hilversum,stoptreinstation,1
HVSP,8400570,Hilversum Sportpark,hilversum-sportpark,52.216110,5.187222,Noord-Holland,Hilversum,stoptreinstation,1
HNP,8400323,Hindeloopen,hindeloopen,52.946490,5.423063,Fryslân,Súdwest-Fryslân,stoptreinstation,1
HB,8400326,Hoensbroek,hoensbroek,50.905556,5.930555,Limburg,Heerlen,stoptreinstation,1
HVL,8400490,Hoevelaken,hoevelaken,52.166520,5.457180,Utrecht,Amersfoort,stoptreinstation,1
HOR,8400327,Hollandsche Rading,hollandsche-rading,52.177776,5.179167,Utrecht,De Bilt,stoptreinstation,1
HON,8400328,Holten,holten,52.283890,6.420278,Overijssel,Rijssen-Holten,stoptreinstation,1
HFD,8400332,Hoofddorp,hoofddorp,52.293335,4.700555,Noord-Holland,Haarlemmermeer,stoptreinstation,1
HGV,8400330,Hoogeveen,hoogeveen,52.733891,6.473611,Drenthe,Hoogeveen,stoptreinstation,1
HGZ,8400331,Hoogezand-Sappemeer,hoogezand-sappemeer,53.159818,6.770754,Groningen,Midden-Groningen,knooppuntStoptreinstation,1
HKS,8400334,Hoogkarspel,hoogkarspel,52.690556,5.183889,Noord-Holland,Drechterland,stoptreinstation,1
HN,8400337,Hoorn,hoorn,52.644722,5.055555,Noord-Holland,Hoorn,knooppuntIntercitystation,1
HNK,8400336,Hoorn Kersenboogerd,hoorn-kersenboogerd,52.653610,5.085556,Noord-Holland,Hoorn,stoptreinstation,1
