code,uic,name,slug,latitude,longitude,province,municipality,type,active
NMGO,8400477,Nijmegen Goffert,nijmegen-goffert,51.827300,5.822722,Gelderland,Nijmegen,stoptreinstation,1
NMH,8400468,Nijmegen Heyendaal,nijmegen-heyendaal,51.826946,5.867500,Gelderland,Nijmegen,stoptreinstation,1
NML,8400451,Nijmegen Lent,nijmegen-lent,51.863154,5.859625,Gelderland,Nijmegen,stoptreinstation,1
NVD,8400472,Nijverdal,nijverdal,52.366111,6.462000,Overijssel,Hellendoorn,stoptreinstation,1
NS,8400466,Nunspeet,nunspeet,52.370834,5.785278,Gelderland,Nunspeet,stoptreinstation,1
NH,8400467,Nuth,nuth,50.919445,5.892778,Limburg,Beekdaelen,stoptreinstation,1
OBD,8400480,Obdam,obdam,52.678055,4.907222,Noord-Holland,Koggenland,stoptreinstation,1
OT,8400482,Oisterwijk,oisterwijk,51.582222,5.194167,Noord-Brabant,Oisterwijk,stoptreinstation,1
ODZ,8400483,Oldenzaal,oldenzaal,52.306389,6.934722,Overijssel,Oldenzaal,stoptreinstation,1
OST,8400486,Olst,olst,52.334721,6.113056,Overijssel,Olst-Wijhe,intercitystation,1
OMN,8400487,Ommen,ommen,52.509445,6.415833,Overijssel,Ommen,knooppuntSneltreinstation,1
OTB,8400489,Oosterbeek,oosterbeek,51.994999,5.840000,Gelderland,Renkum,stoptreinstation,1
OP,8400494,Opheusden,opheusden,51.926161,5.637115,Gelderland,Neder-Betuwe,stoptreinstation,1
O,8400495,Oss,oss,51.765556,5.532222,Noord-Brabant,Oss,knooppuntIntercitystation,1
OW,8400496,Oss West,oss-west,51.758057,5.505556,Noord-Brabant,Oss,stoptreinstation,1
ODB,8400498,Oudenbosch,oudenbosch,51.587776,4.533333,Noord-Brabant,Halderberge,stoptreinstation,1
OVN,8400501,Overveen,overveen,52.391109,4.606111,Noord-Holland,Bloemendaal,stoptreinstation,1
PMR,8400508,Purmerend,purmerend,52.503056,4.953611,Noord-Holland,Purmerend,knooppuntStoptreinstation,1
PMO,8400506,Purmerend Overwhere,purmerend-overwhere,52.511391,4.968333,Noord-Holland,Purmerend,stoptreinstation,1
PMW,8400499,Purmerend Weidevenne,purmerend-weidevenne,52.496591,4.935629,Noord-Holland,Purmerend,stoptreinstation,1
